v1;v2;Zv1;Zv2;Factor1_unst;Factor2_unst;Factor1_st;Factor2_st
14,2;278,3;1,74719516567875;,668308849680583;1,708019019345;-,762888353055781;1,33027564677815;-1,2868538051047
10,8;284;,8679080781554;,725164975698184;1,12647259449211;-,100934684895794;,877343309555486;-,170258443198042
9,5;312,3;,531710074102354;1,0074506539961;1,08835082893869;,336399620696977;,847652506494433;,567444935023183
8,8;203,4;,350680379612253;-,0788005957086055;,192248010738147;-,303689118188684;,149730678598986;-,512268270638315
11,5;358;1,0489377726455;1,46329713803196;1,77641808136728;,292996517932897;1,38354765689055;,494231800071545
6,3;292,9;-,295854243566679;,813940330357247;,366342131608783;,784743806809488;,285322359147292;1,32371997787112
4,2;131,8;-,838943327036983;-,792993336561287;-1,15395331246329;,0324915721305638;-,898746425948798;,0548073686832029
6;194,2;-,373438398348151;-,170568378052805;-,384670824323666;,143450865371595;-,299597500863946;,241975501670166
10,2;449,1;,712739768592455;2,37199767841854;2,18123844782628;1,17327332393764;1,69883845208715;1,9790985604765
11,7;256,5;1,10066054249982;,450859104560632;1,09708990306624;-,459479318118949;,854458857802938;-,775057983936801
7,2;64,1;-,0631017792222635;-1,46828451750719;-1,08285347660211;-,993614924071778;-,843370941797389;-1,67604753792471
5,5;172,5;-,502745322983938;-,38702064727771;-,629159459189215;,0818297590286508;-,490015331808475;,138031910377219
9,9;209;,635155613810984;-,0229419455860494;,432900372999629;-,465345565880071;,337160662241;-,784953276246415
7,4;153,5;-,0113790093679489;-,576541067336382;-,415722212209359;-,399630197565585;-,323781602232349;-,674103410167559
2,3;89,8;-1,33030964065297;-1,21193321248046;-1,79763689786285;,0837048324647666;-1,40007374618921;,141194817998565
6,6;180,5;-,218270088785208;-,307222575674058;-,371579372137449;-,0628989497934893;-,289401338041964;-,106099080625134
10,1;123,3;,686878383665298;-,877778787640167;-,134986950432048;-1,10638045437604;-,105133403527008;-1,86626246410026
15,5;335,5;2,08339316973179;1,23886506164669;2,34919098055227;-,59717196143162;1,82964681052439;-1,00732041299617
2,4;170;-1,30444825572581;-,411957544653851;-1,21368200314353;,631086666492144;-,945265593315178;1,06452834792049
8;358,9;,143789300194995;1,47227442108737;1,14272944895648;,939381481541023;,890004818205115;1,58456559092017
3,1;231,6;-1,12341856123571;,202487606694266;-,651196427684822;,937557885163058;-,507178631623347;1,58148951572705
9,3;274,6;,47998730424804;,631402241563894;,785870969403292;,107066602332485;,612068718361253;,180601871898175
2,7;85,8;-1,22686410094434;-1,25183224828228;-1,75270274060393;-,017655158397178;-1,3650771715416;-,0297810389582307
14,3;189,1;1,77305655060591;-,221439648700133;1,09715867261681;-1,4103227542161;,854512418364811;-2,37895780610512
9,6;233,5;,557571459029512;,221439648700134;,55084395630173;-,237681245363273;,429019988620576;-,400925002685664
5,4;156,8;-,528606707911095;-,543624362799876;-,758181750169666;-,0106190928877084;-,590503212586663;-,0179124770152423
3,9;112,7;-,916527481818455;-,983511232515006;-1,34353006285133;-,0473646968106294;-1,04639661683091;-,0798956230937924
15,8;355;2,16097732451326;1,43337286118059;2,54158901840536;-,514494402678885;1,97949433642725;-,86785841878488
3,2;76;-1,09755717630856;-1,34958488599676;-1,73039049361085;-,178210624713103;-1,34769947348109;-,30060888936572
5,6;185,1;-,476883938056781;-,261338684501959;-,52200214606288;,152413614905566;-,406556797441094;,257094028903923
8,8;343,4;,350680379612253;1,3176656573553;1,17969862350468;,683762315850737;,918797935861275;1,15338258136362
10,7;319,1;,842046693228242;1,07527901485921;1,35575381157266;,164920269253581;1,05591697641247;,278190478564487
10,6;318,3;,816185308301085;1,06729920769884;1,33182447866522;,177564462817131;1,0372798251572;,299518931849375
,9;43,8;-1,69236902963317;-1,67077212420146;-2,37809956802614;,0152713287503913;-1,85216201056824;,02575995220366
7,8;181,1;,0920665303406802;-,301237720303784;-,147906345211711;-,278108293315775;-,115195560945541;-,469118074815346
8,6;205;,298957609757939;-,0628409813878752;,166959644643641;-,255830412569253;,130035056254434;-,431539344594209
4,9;286,9;-,657913632546882;,754091776654508;,0680082079502113;,998439284249233;,0529675968432039;1,68418535550534
5,6;128;-,476883938056781;-,830897420573022;-,924740931698373;-,250325505691941;-,72022637165307;-,422253568591154
3,6;201;-,994111636599927;-,102740017189701;-,775591128874199;,63029534864699;-,604062354641802;1,06319353873641
11,9;485,3;1,15238331235413;2,73308395242507;2,74743984902796;1,11772490770935;2,13981945209914;1,88539849217085
2;155,7;-1,40789379543444;-,554596597645378;-1,38769006192836;,603372648476079;-1,08079024516207;1,01777984350846
10,1;203,9;,686878383665298;-,0738132162333772;,433502473774971;-,537890557350488;,337629603153995;-,90732347359057
13,3;208,2;1,51444270133433;-,0309217527464147;1,04900756929934;-1,09273843384868;,817010353467846;-1,843250858333
3,5;147,3;-1,01997302152708;-,638384572829212;-1,17263572903414;,269823964634217;-,913297062391183;,455143920086284
1,4;101,2;-1,56306210499739;-1,09822096044525;-1,88181102690513;,328692550773388;-1,46563202902182;,554444510757101
9;165,7;,402403149466568;-,454849008140814;-,0370848168878611;-,606169229299708;-,0288831846790953;-1,02249716637721
4,3;224,8;-,813081942109825;,134659245831163;-,479717218862456;,67015468012726;-,373623552410789;1,13042897650245
6;90,9;-,373438398348151;-1,20096097763496;-1,11326831217211;-,58514722845892;-,867059269972477;-,98703687698555
2,8;63,7;-1,20100271601719;-1,47227442108737;-1,89029211507044;-,191818193671462;-1,47223745022423;-,323562381606293
5,4;173,9;-,528606707911095;-,373055984747071;-,637571711038897;,109991046555678;-,496567140449626;,185534877050709
